127.0.0.1 - - [08/Dec/2024:23:20:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:20:56 +0900] "GET /jspStudy/account/login.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:20:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:20:59 +0900] "GET /jspStudy/member/member.html HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:03 +0900] "POST /jspStudy/account/login_check.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:03 +0900] "GET /jspStudy/account/login.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:07 +0900] "POST /jspStudy/account/login_check.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:07 +0900] "GET /jspStudy/account/login.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:09 +0900] "GET /jspStudy/account/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:09 +0900] "GET /jspStudy/account/login.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:12 +0900] "POST /jspStudy/account/login_check.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:12 +0900] "GET /jspStudy/account/login.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:15 +0900] "GET /jspStudy/account/mypage.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:17 +0900] "GET /jspStudy/account/member_update.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:17 +0900] "GET /jspStudy/account/mypage.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:19 +0900] "GET /jspStudy/account/member_update.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:19 +0900] "GET /jspStudy/account/mypage.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:19 +0900] "GET /jspStudy/account/member_update.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:19 +0900] "GET /jspStudy/account/mypage.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:20 +0900] "GET /jspStudy/account/member_update.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:20 +0900] "GET /jspStudy/account/mypage.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:20 +0900] "GET /jspStudy/account/member_update.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:20 +0900] "GET /jspStudy/account/mypage.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:20 +0900] "GET /jspStudy/account/member_update.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:20 +0900] "GET /jspStudy/account/mypage.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:21 +0900] "GET /jspStudy/account/member_update.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:21:21 +0900] "GET /jspStudy/account/mypage.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:23:31 +0900] "GET /jspStudy/loginServlet HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:23:49 +0900] "GET /jspStudy/account/loginServlet HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:23:51 +0900] "GET /jspStudy/account/loginServlet HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:24:00 +0900] "GET /jspStudy/account/login.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:24:46 +0900] "GET /jspStudy/loginServlet.do HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:24:49 +0900] "GET /jspStudy/myPageServlet.do HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:24:54 +0900] "GET /jspStudy/loginServlet.do HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:24:55 +0900] "GET /jspStudy/logoutServlet.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:23:24:55 +0900] "GET /jspStudy/loginServlet.do HTTP/1.1" 200 565
